name,time,value
humidity,1657995179029987971,50
humidity,1657995188307855111,50
humidity,1657995197600999665,50
humidity,1657995206854972773,49
humidity,1657995216136984399,50
humidity,1657995225422750754,49
humidity,1657995234669114910,49
humidity,1657995243939132585,50
humidity,1657995253207143055,49
humidity,1657995262474477819,49
humidity,1657995271746135968,50
humidity,1657995281003453237,50
humidity,1657995290268646186,50
humidity,1657995299531236003,50
humidity,1657995308820358567,50
humidity,1657995318076784539,49
humidity,1657995327337484153,49
humidity,1657995366614389739,51
humidity,1657995375893194561,50
humidity,1657995385143875367,50
humidity,1657995394410060843,50
humidity,1657995403683162523,50
humidity,1657995412955327681,50
humidity,1657995422202755110,50
humidity,1657995431458783576,51
humidity,1657995440718804829,51
humidity,1657995449983818811,50
humidity,1657995459256522994,51
humidity,1657995468534604480,50
humidity,1657995477803889350,50
humidity,1657995487070076170,50
humidity,1657995496341883623,50
humidity,1657995505604092412,50
humidity,1657995514877658191,50
humidity,1657995524133994548,50
humidity,1657995533417089478,50
humidity,1657995542689223367,50
humidity,1657995551946764792,50
humidity,1657995561219144130,50
humidity,1657995570489884618,50
humidity,1657995579745885474,50
humidity,1657995589012398435,50
humidity,1657995598275969273,50
humidity,1657995607525927787,50
humidity,1657995616797025647,50
humidity,1657995626057685834,50
humidity,1657995635341454779,50
humidity,1657995644598520210,50
humidity,1657995653857583091,49
humidity,1657995663111620881,50
humidity,1657995672369138969,50
humidity,1657995681627726180,50
humidity,1657995690892335071,50
humidity,1657995700147355617,50
humidity,1657995709401707725,50
humidity,1657995718661170623,49
humidity,1657995727932879645,49
humidity,1657995737187872609,49
humidity,1657995746442853438,49
humidity,1657995755709032936,49
humidity,1657995764962452246,49
humidity,1657995774221879786,49
humidity,1657995783474804920,50
humidity,1657995792734217796,50
humidity,1657995802001011891,50
humidity,1657995811257108054,50
humidity,1657995820525032405,49
humidity,1657995829787291706,50
humidity,1657995839051076410,49
humidity,1657995848304141932,49
humidity,1657995857566932535,50
humidity,1657995866836838184,49
humidity,1657995876105851077,50
humidity,1657995885365002546,50
humidity,1657995894639525769,50
humidity,1657995903899669798,50
humidity,1657995913189701445,50
